,Euclidean error in meters,Depth error in meters,Azimuthal error in radians,Sagittal error in radians,Azimutal error in degrees: ,Sagittal error in degrees: ,Front-back confusion in boolean: ,Up-down confusion in boolean: ,Left-right confusion in boolean: 
96,0.26,0.15,0.12,0.07,7.0,4.0,False,False,False
97,0.62,0.17,0.05,0.41,3.0,23.0,False,False,False
98,0.23,0.04,0.68,0.06,39.0,3.0,False,False,False
99,0.21,0.01,0.08,0.16,5.0,9.0,False,False,False
100,1.14,1.09,0.27,0.1,15.0,6.0,False,False,False
101,0.4,0.3,0.5,0.12,29.0,7.0,False,False,False
102,0.67,0.05,1.25,0.1,72.0,6.0,False,False,False
103,0.97,0.08,1.83,0.02,105.0,1.0,False,False,False
104,1.0,0.06,1.28,0.22,73.0,13.0,False,False,False
105,0.8,0.16,1.12,0.03,64.0,2.0,False,False,False
106,1.54,0.56,0.91,0.56,52.0,32.0,False,False,False
107,0.96,0.61,0.3,0.42,17.0,24.0,False,False,False
108,1.36,0.02,2.75,0.33,158.0,19.0,False,False,False
109,1.57,0.02,2.99,0.64,171.0,37.0,False,False,False
110,0.33,0.05,0.24,0.13,14.0,7.0,False,False,False
111,0.35,0.19,0.34,0.05,19.0,3.0,False,False,False
112,3.01,0.42,2.53,0.47,145.0,27.0,False,False,False
113,0.19,0.07,0.07,0.07,4.0,4.0,False,False,False
114,0.61,0.16,0.31,0.44,18.0,25.0,False,False,False
115,1.69,1.19,1.27,0.05,73.0,3.0,False,False,False
116,1.14,0.8,0.07,0.45,4.0,26.0,False,False,False
117,0.59,0.56,0.25,0.08,14.0,5.0,False,False,False
118,0.84,0.18,2.2,0.13,126.0,7.0,False,False,False
119,1.22,0.14,1.44,0.66,83.0,38.0,False,False,False
120,0.59,0.05,1.19,0.27,68.0,15.0,False,False,False
121,1.13,0.0,1.53,0.68,88.0,39.0,False,False,False
122,0.2,0.09,0.35,0.08,20.0,5.0,False,False,False
123,0.47,0.22,0.84,0.13,48.0,7.0,False,False,False
124,0.19,0.08,0.0,0.15,0.0,9.0,False,False,False
